Country,Total Death,Crew Death,Passengers Death,Ground Death,Type,Incident,Aircraft
Myanmar,122,14,108,0,MIL,Myanmar Air Force (5820),Shaanxi Y-8F-200
Namibia,123,12,111,0,COM,South African Airways Flight 228,Boeing 707-344C
Nepal,113,14,99,0,COM,Thai Airways International Flight 311,Airbus A310-304
Nepal,167,12,155,0,COM,Pakistan International Airlines Flight 268,Airbus A300B4-200
Nepal,51,4,47,0,COM,US-Bangla Airlines Flight 211,Bombardier Dash 8-Q400
NewYork,230,18,212,0,COM,TWA Flight 800,Boeing 747-131
NewYork,265,9,251,5,COM,American Airlines Flight 587,Airbus A300B4-605R
Nicaragua,84,0,84,0,MIL,Fuerza Aérea Sandinista (265),Mil Mi-8TV
Niger,170,14,156,0,INB,Union de Transports Aériens Flight 772,McDonnell Douglas DC-10-30
Nigeria,58,2,55,1,COM,Pan African Airlines (N90427),Douglas C-54B-1-DC Skymaster
Nigeria,87,11,76,0,COM,Nigeria Airways Flight 825,Vickers VC10
Nigeria,176,6,170,0,COM,Nigeria Airways (JY-ADO),Boeing 707-3D3C
Nigeria,53,2,51,0,COM,Nigeria Airways (5N-ANF),Fokker F28 Fellowship 2000
Nigeria,159,8,151,0,MIL,Nigerian Air Force (NAF911),Lockheed C-130H Hercules
Nigeria,144,10,134,0,COM,ADC Airlines Flight 86,Boeing 727-231
Nigeria,103,7,66,30,COM,EAS Airlines Flight 4226,BAC One-Eleven 500
Nigeria,117,6,111,0,COM,Bellview Airlines Flight 210,Boeing 737-2L9
Nigeria,108,7,101,0,COM,Sosoliso Airlines Flight 1145,McDonnell Douglas DC-9-32
Nigeria,96,4,92,0,COM,ADC Airlines Flight 53,Boeing 737-2B7
Nigeria,159,6,147,6,COM,Dana Air Flight 992,McDonnell Douglas MD-83
Norway,141,11,130,0,COM,Vnukovo Airlines Flight 2801,Tupolev Tu-154M
PacificOcean,58,8,50,0,COM,Transocean Air Lines Flight 512,Douglas DC-6
PacificOcean,67,10,57,0,MIL,US Air Force (50-0702),Boeing C-97C-35-BO
PacificOcean,107,11,96,0,COM,Flying Tiger Line Flight 739,Lockheed L-1049H Super Constellation
Pakistan,54,5,49,0,COM,Pakistan International Airlines Flight 404,Fokker F27 Friendship 200
Pakistan,51,6,45,0,MIL,Afghanistan Air Force,Antonov An-32
Pakistan,152,6,146,0,COM,Airblue Flight 202,Airbus A321-231
Pakistan,127,6,121,0,COM,Bhoja Air Flight 213,Boeing 737-236
Pakistan,98,8,89,1,COM,Pakistan International Airlines Flight 8303,Airbus A320-214
Papua,54,5,49,0,COM,Trigana Air Flight 267,ATR 42-300
PapuaNewGuinea,61,11,0,50,MIL,US Air Force (42-40682),Consolidated B-24 Liberator
Peru,97,17,80,0,COM,Varig Flight 810,Boeing 707-441
Peru,72,6,66,0,COM,Faucett (OB-R-148),Douglas C-54A-5-DC Skymaster
Peru,101,7,92,2,COM,LANSA Flight 502,Lockheed L-188 Electra
Peru,91,6,85,0,COM,LANSA Flight 508,Lockheed L-188 Electra
Peru,59,6,53,0,COM,Fuerza Aérea del Peru (FAP-329),de Havilland Canada DHC-5
Peru,123,6,117,0,COM,Faucett Flight 251,Boeing 737-222
Peru,70,9,61,0,COM,Aeroperú Flight 603,Boeing 757-23A
Peru,75,6,69,0,COM,Peruvian Air Force (FAP-351),Boeing 737-282
Philippines,80,5,74,1,MIL,US Air Force (61-0332),Boeing C-135B
Philippines,50,4,46,0,COM,Philippine Airlines Flight 206,Hawker Siddeley HS 748-209 Srs.2
Philippines,104,5,99,0,COM,Cebu Pacific Air Flight 387,McDonnell Douglas DC-9-32
Philippines,131,7,124,0,COM,Air Philippines Flight 541,Boeing 737-2H4
Philippines,53,0,0,3,MIL,Philippine Air Force (5125),Lockheed C-130H Hercules
Poland,53,5,48,0,COM,LOT Polish Airlines Flight 165,Antonov An-24W
Poland,87,10,77,0,COM,LOT Polish Airlines Flight 007,Ilyushin Il-62
Poland,183,11,172,0,COM,LOT Polish Airlines Flight 5055,Ilyushin Il-62M
Portugal,61,14,47,0,COM,Viasa Flight 897,Douglas DC-8-53
Portugal,68,8,60,0,COM,Fuerza Aérea Venezolana (7772),Lockheed C-130H Hercules
Portugal,144,7,137,0,COM,Independent Air Flight 1851,Boeing 707-331B
Portugal,56,2,54,0,COM,Martinair Flight 495,McDonnell Douglas DC-10-30CF
RepublicofMacedonia,83,4,79,0,COM,Palair Macedonian Airlines Flight 301,Fokker 100
RepublicofMacedonia,116,8,108,0,COM,Avioimpex Flight 110,Yakovlev Yak-42
Romania,60,10,50,0,COM,TAROM Flight 371,Airbus A310-324
Russia,84,7,77,0,COM,Aeroflot Flight 2808,Tupolev Tu-134A
Russia,124,9,115,1,COM,Baikal Air Flight 130,Tupolev Tu-154
Russia,75,12,63,0,COM,Aeroflot Flight 593,Airbus A310-304
Russia,98,8,90,0,COM,Khabarovsk United Air Group Flight 3949,Tupolev Tu-154B
Russia,50,6,44,0,COM,Stavropolskaya Aktsionernaya Avia Flight 1023,Antonov An-24RV
